countryterritoryCode,Country,tourist_arrival_2018,tourist_departure_2018,perc_diabetes_2019,fempop_2018,male_pop_2018,gdp_capita_2018,sanitation_access_2016,handwashing_access_2017,heathcare_coverage_2017,hops_bedsper1000_2016,doc_per1000_2015,pop_over65_2018,smoking_perc_2016,date,confirm,death,recov
ABW,Netherlands,,,,,,,,,,,,,,2020-04-05,64,0,1
AFG,Afghanistan,,,9.2,18079105,19093281,520.8966027,42.05418277,37.74603202,37,0.5,0.2907,960879,,2020-04-05,349,7,15
AGO,Angola,218000,,4.5,15568315,15241447,3432.385736,48.62794479,26.66418257,40,0.8,0.1311,682859,,2020-04-05,14,2,2
AIA,United Kingdom,,,,,,,,,,,,,,2020-04-05,3,0,0
ALB,Albania,5340000,5415000,9,1406333,1460043,5268.848504,97.70487655,,59,2.9,1.2706,393976,28.7,2020-04-05,361,20,104
AND,Andorra,3042000,,7.7,,,42029.76274,100,,,2.5,3.3333,,33.5,2020-04-05,501,18,26
ARE,United Arab Emirates,21286000,18904000,16.3,2950607,6680352,43004.95336,98.58189561,,76,1.2,2.2373,104496,28.9,2020-04-05,1799,10,144
ARG,Argentina,6942000,11130000,5.9,22797803,21696699,11683.94962,94.25850542,,76,5,3.9066,4946805,21.8,2020-04-05,1451,44,280
ARM,Armenia,1652000,1623000,6.1,1563160,1388616,4212.070943,93.40697156,94.04294137,69,4.2,2.899,332187,24.1,2020-04-05,822,7,57
ATG,Antigua and Barbuda,269000,,13.1,49865,46421,16726.98081,87.50428238,,73,3.8,1.5755,8473,,2020-04-05,15,0,0
AUS,Australia,9246000,11403000,5.6,12546075,12446294,57373.68668,99.99115238,,87,3.8,3.5213,3912924,14.7,2020-04-05,5687,35,757
AUT,Austria,30816000,11883000,6.6,4496898,4350139,51461.95478,99.97481352,,79,7.6,5.0701,1681076,29.6,2020-04-05,12051,204,2998
AZE,Azerbaijan,2633000,3919000,6.1,4982675,4959659,4721.178087,92.48309488,83.2413,65,4.7,3.4466,615946,20.8,2020-04-05,584,7,32
BDI,Burundi,,,5.1,5634848,5540530,271.7520444,45.85101926,6.144099368,42,0.8,0.0477,251104,,2020-04-05,3,0,0
BEL,Belgium,9119000,13098000,4.6,5778803,5643265,47518.63604,99.48605762,,84,6.2,3.0138,2146063,28.2,2020-04-05,19691,1447,3751
BEN,Benin,295000,,1,5753803,5731245,901.5438712,16.35113779,11.03491343,40,0.5,0.1506,373678,6.4,2020-04-05,22,0,5
BES,Netherlands,,,,,,,,,,,,,,2020-04-05,2,0,0
BFA,Burkina Faso,144000,,7.3,9894627,9856908,715.122904,19.12627904,11.87738933,40,0.4,0.0475,475416,12.5,2020-04-05,345,17,90
BGD,Bangladesh,,,9.2,79689386,81666653,1698.262802,47.00580284,34.80760361,48,0.8,0.4709,8323375,23,2020-04-05,88,9,33
BGR,Bulgaria,9273000,6699000,6,3611437,3412779,9272.629304,85.99330573,,66,6.8,3.9879,1476625,37,2020-04-05,531,20,37
BHR,Bahrain,12045000,2868000,15.6,570464,998975,24050.75751,100,,77,2,0.9257,38080,26.4,2020-04-05,700,4,431
BHS,Bahamas,,,,,,,,,,,,,,2020-04-05,28,4,0
BIH,Bosnia and Herzegovina,1053000,,9,1695554,1628375,6065.672708,95.33614877,,61,3.5,2.0003,547462,38.9,2020-04-05,654,23,30
BLM,France,,,,,,,,,,,,,,2020-04-05,6,0,1
BLR,Belarus,11501600,836000,5,5070513,4414873,6289.938553,97.77775129,,76,11,4.0772,1408120,26.7,2020-04-05,562,8,52
BLZ,Belize,489000,,17.1,192273,190798,4884.742421,87.53477602,90.08276664,64,1.3,1.1494,18144,,2020-04-05,5,0,0
BMU,United Kingdom,,,,,,,,,,,,,,2020-04-05,37,0,14
BOL,Bolivia,1142000,1060000,6.8,5651980,5701162,3548.59014,58.80000805,25.38289907,68,1.1,0.4734,816512,,2020-04-05,157,10,2
BRA,Brazil,6621000,10628000,10.4,106473088,102996245,8920.762105,87.42636006,,79,2.2,1.8693,18690609,13.9,2020-04-05,11130,486,127
BRB,Barbados,680000,,13.4,148116,138525,17949.28151,96.85555159,,77,5.8,1.811,45297,7.8,2020-04-05,56,1,6
BRN,Brunei,,,,,,,,,,,,,,2020-04-05,135,1,73
BTN,Bhutan,274000,,10.3,354585,399809,3243.231125,68.28248382,,62,1.7,0.3188,45286,,2020-04-05,5,0,2
BWA,Botswana,,,5.8,1166077,1088049,8258.641666,76.01730993,,61,1.8,0.392,95211,20,2020-04-05,6,1,0
CAF,Central African Republic,,,6,2353556,2312821,475.7212505,25.31967074,,33,1,0.0629,131861,,2020-04-05,8,0,0
CAN,Canada,21134000,26033000,7.6,18674525,18384331,46232.98962,99.32453042,,89,2.7,2.5388,6385985,14.3,2020-04-05,15743,258,3012
