countryterritoryCode	date	Oxford_stringency_level	day_count	Country	tourist_arrival_2018	tourist_departure_2018	perc_diabetes_2019	fempop_2018	male_pop_2018	gdp_capita_2018	sanitation_access_2016	handwashing_access_2017	heathcare_coverage_2017	hops_bedsper1000_2016	doc_per1000_2015	pop_over65_2018	smoking_perc_2016	region	sub-region
ALB	2020-04-04	0	20	Albania	5340000	5415000	9	1406333	1460043	5268.848504	97.70487655	NA	59	2.9	1.2706	393976	28.7	Europe	Southern Europe
ARE	2020-03-29	0	20	United Arab Emirates	21286000	18904000	16.3	2950607	6680352	43004.95336	98.58189561	NA	76	1.2	2.2373	104496	28.9	Asia	Western Asia
ARG	2020-04-04	90.48	20	Argentina	6942000	11130000	5.9	22797803	21696699	11683.94962	94.25850542	NA	76	5	3.9066	4946805	21.8	Americas	Latin America and the Caribbean
ARM	2020-04-04	0	20	Armenia	1652000	1623000	6.1	1563160	1388616	4212.070943	93.40697156	94.04294137	69	4.2	2.899	332187	24.1	Asia	Western Asia
AUS	2020-03-23	57.14	20	Australia	9246000	11403000	5.6	12546075	12446294	57373.68668	99.99115238	NA	87	3.8	3.5213	3912924	14.7	Oceania	Australia and New Zealand
AUT	2020-03-25	95.24	20	Austria	30816000	11883000	6.6	4496898	4350139	51461.95478	99.97481352	NA	79	7.6	5.0701	1681076	29.6	Europe	Western Europe
BEL	2020-03-25	85.71	20	Belgium	9119000	13098000	4.6	5778803	5643265	47518.63604	99.48605762	NA	84	6.2	3.0138	2146063	28.2	Europe	Western Europe
BGR	2020-04-03	80.95	20	Bulgaria	9273000	6699000	6	3611437	3412779	9272.629304	85.99330573	NA	66	6.8	3.9879	1476625	37	Europe	Eastern Europe
BHR	2020-03-23	0	20	Bahrain	12045000	2868000	15.6	570464	998975	24050.75751	100	NA	77	2	0.9257	38080	26.4	Asia	Western Asia
BRA	2020-03-31	76.19	20	Brazil	6621000	10628000	10.4	106473088	102996245	8920.762105	87.42636006	NA	79	2.2	1.8693	18690609	13.9	Americas	Latin America and the Caribbean
BRN	2020-04-04	0	20	Brunei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Asia	South-eastern Asia
CAN	2020-03-26	71.43	20	Canada	21134000	26033000	7.6	18674525	18384331	46232.98962	99.32453042	NA	89	2.7	2.5388	6385985	14.3	Americas	Northern America
CHE	2020-03-22	80.95	20	Switzerland	10362000	15285000	5.7	4294648	4221895	82796.54716	99.89036265	NA	83	4.7	4.1782	1586054	25.7	Europe	Western Europe
CHL	2020-04-02	71.43	20	Chile	5723000	3825000	8.6	9500747	9228413	15923.35874	100	NA	70	2.2	1.0328	2159435	37.8	Americas	Latin America and the Caribbean
CHN	2020-02-10	66.67	20	China	62900000	149720000	9.2	677972245	714757755	9770.847088	83.23517302	NA	79	4.2	1.7855	152098421	25.6	Asia	Eastern Asia
COL	2020-04-04	80.95	20	Colombia	3904000	4368000	7.4	25283976	24364709	6667.7907	88.58699402	65.38575811	76	1.5	1.9379	4209239	9	Americas	Latin America and the Caribbean
CZE	2020-03-30	95.24	20	Czechia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Europe	Eastern Europe
DEU	2020-03-19	61.9	20	Germany	38881000	108542000	10.4	42011590	40916332	47603.02763	99.22492593	NA	83	8.3	4.1383	17797959	30.6	Europe	Western Europe
DNK	2020-03-28	80.95	20	Denmark	12749000	7475000	8.3	2914620	2882826	61350.34791	99.59722928	NA	81	2.5	3.6743	1148645	19.1	Europe	Northern Europe
DZA	2020-04-04	61.9	20	Algeria	2657000	5610000	6.7	20896429	21332000	4114.715061	87.54231646	83.74060269	78	1.9	1.207	2686782	15.6	Africa	Northern Africa
ECU	2020-04-05	61.9	20	Ecuador	2535000	1402000	5.5	8537160	8547197	6344.871979	87.17655336	80.63477845	77	1.5	2.0734	1222777	7.1	Americas	Latin America and the Caribbean
EGY	2020-03-28	95.24	20	Egypt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Africa	Northern Africa
ESP	2020-03-20	90.48	20	Spain	82773000	19116000	6.9	23780819	22942930	30370.89233	99.90428643	NA	83	3	3.8493	9054365	29.3	Europe	Southern Europe
EST	2020-04-01	0	20	Estonia	3234000	2069000	4.2	698199	622685	23266.34627	99.13973696	NA	75	5	3.4152	259241	31.3	Europe	Northern Europe
FIN	2020-03-30	52.38	20	Finland	3224000	9450000	5.6	2798797	2719253	50152.34014	99.44785618	NA	78	4.4	3.2073	1198564	20.4	Europe	Northern Europe
FRA	2020-03-18	76.19	20	France	89322000	26914000	4.8	34554861	32432383	41463.64402	98.65080612	NA	78	6.5	3.2237	13420643	32.7	Europe	Western Europe
GBR	2020-03-22	47.62	20	United Kingdom	36316000	70386000	3.9	33666883	32822108	42943.90227	99.11142063	NA	87	2.8	2.778	12231225	22.3	Europe	Northern Europe
GRC	2020-03-27	66.67	20	Greece	30123000	7961000	4.7	5462121	5265547	20324.25356	98.97959928	NA	75	4.3	6.1082	2323106	43.4	Europe	Southern Europe
HKG	2020-03-03	0	20	China	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Asia	Eastern Asia
HRV	2020-04-04	100	20	Croatia	16645000	2058000	5.4	2120461	1968939	14909.69319	96.51257251	NA	71	5.6	3.1244	836096	37	Europe	Southern Europe
IDN	2020-04-01	66.67	20	Indonesia	15810000	9468000	6.3	132878520	134784915	3893.596078	71.25313269	64.20361858	57	1.2	0.274	15677491	39.4	Asia	South-eastern Asia
IND	2020-03-29	100	20	India	17423000	26296000	10.4	649574719	703042609	2009.978857	56.94165514	59.54968752	55	0.7	0.7256	83591151	11.5	Asia	Southern Asia
IRL	2020-04-01	52.38	20	Ireland	10926000	8643000	3.2	2447405	2406101	78806.432	91.14664278	NA	76	2.8	2.7819	672978	24.3	Europe	Northern Europe
